"","joueur","equipe","clust"
"152","Massadio Haïdara","Lens","2"
"153","Mathias Pereira Lage","Angers","2"
"154","Mattéo Guendouzi","Marseille","3"
"155","Matthieu Udol","Metz","2"
"156","Mauro Icardi","Paris S-G","1"
"157","Maxime Le Marchand","Strasbourg","2"
"158","Melvin Bard","Nice","2"
"159","Mexer","Bordeaux","2"
"160","Mickael Nade","Saint-Étienne","2"
"161","Miguel Trauco","Saint-Étienne","2"
"162","Mihailo Ristić","Montpellier","2"
"163","Mohamed Ali Cho","Angers","3"
"164","Mohamed Bayo","Clermont Foot","3"
"165","Moreto Cassamã","Reims","1"
"166","Moritz Jenz","Lorient","2"
"167","Moses Simon","Nantes","3"
"168","Moussa Dembélé","Lyon","4"
"169","Myron Boadu","Monaco","1"
"170","Nabil Bentaleb","Angers","2"
"171","Nathanael Mbuku","Reims","3"
"172","Nayef Aguerd","Rennes","2"
"173","Neymar","Paris S-G","4"
"174","Nicolas Cozza","Montpellier","2"
"175","Nicolas de Préville","Metz","2"
"176","Opa Nguette","Metz","2"
"177","Osman Bukari","Nantes","1"
"178","Oualid El Hajjam","Troyes","2"
"179","Pablo Sarabia","Paris S-G","1"
"180","Pape Matar Sarr","Metz","3"
"181","Pedro Chirivella","Nantes","2"
"182","Philippe Koffi","Reims","1"
"183","Pol Lirola","Marseille","2"
"184","Presnel Kimpembe","Paris S-G","2"
"185","Przemysław Frankowski","Lens","2"
"186","Quentin Merlin","Nantes","2"
"187","Randal Kolo Muani","Nantes","3"
"188","Reinildo Mandava","Lille","2"
"189","Remi Oudin","Bordeaux","3"
"190","Renato Sanches","Lille","3"
"191","Renaud Ripart","Troyes","2"
"192","Ricardo Mangas","Bordeaux","2"
"193","Romain Faivre","Brest","5"
"194","Romain Faivre","Lyon","1"
"195","Romain Hamouma","Saint-Étienne","2"
"196","Romain Thomas","Angers","2"
"197","Rominigue Kouamé","Troyes","3"
"198","Ryad Boudebouz","Saint-Étienne","3"
